岗位名称,职级,工作年限要求,薪资,核心能力要求
初级后端开发工程师,P1（初级）,0-1年,8K-15K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
初级前端开发工程师,P1（初级）,0-1年,8K-15K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
初级移动端开发工程师,P1（初级）,0-1年,8K-15K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
初级全栈开发工程师,P1（初级）,0-1年,8K-15K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
初级测试工程师,P1（初级）,0-1年,8K-15K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
初级运维/DevOps工程师,P1（初级）,0-1年,8K-15K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
初级AI应用工程师,P1（初级）,0-1年,8K-15K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
初级网络安全专员,P1（初级）,0-1年,8K-15K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
产品助理,P1（初级）,0-1年,7K-13K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
需求分析助理,P1（初级）,0-1年,7K-13K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
UI设计助理,P1（初级）,0-1年,7K-14K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
UX设计助理,P1（初级）,0-1年,7K-14K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
平面设计助理,P1（初级）,0-1年,7K-14K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
交互设计助理,P1（初级）,0-1年,7K-14K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
内容运营助理,P1（初级）,0-1年,6K-12K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
用户运营助理,P1（初级）,0-1年,6K-12K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
